['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 351072), 'Duration (s)', 0.050715]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 408995), 'Duration (s)', 0.056131]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 465126), 'Duration (s)', 0.048057]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 518725), 'Duration (s)', 0.041116]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 559841), 'Duration (s)', 0.050094]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 615960), 'Duration (s)', 0.041075]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 657035), 'Duration (s)', 0.050579]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 713624), 'Duration (s)', 0.051253]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 764877), 'Duration (s)', 0.053359]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 823782), 'Duration (s)', 0.04504]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 868822), 'Duration (s)', 0.05852]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 934343), 'Duration (s)', 0.027217]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 961560), 'Duration (s)', 0.052675]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 21244), 'Duration (s)', 0.047881]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 69125), 'Duration (s)', 0.05459]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 130122), 'Duration (s)', 0.022934]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 153056), 'Duration (s)', 0.049903]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 209967), 'Duration (s)', 0.05148]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 261447), 'Duration (s)', 0.050067]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 317529), 'Duration (s)', 0.043302]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 360831), 'Duration (s)', 0.049834]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 416034), 'Duration (s)', 0.037525]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 453559), 'Duration (s)', 0.051104]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 509651), 'Duration (s)', 0.043236]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 552887), 'Duration (s)', 0.050144]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 608048), 'Duration (s)', 0.054243]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 662291), 'Duration (s)', 0.051675]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 725400), 'Duration (s)', 0.036605]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 762005), 'Duration (s)', 0.056611]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 824636), 'Duration (s)', 0.032943]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 857579), 'Duration (s)', 0.049129]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 9, 911733), 'Duration (s)', 0.039313]
